Winner,NumTricks,NAcesP1,NAcesP2,NShuffles,ArtificiallyEnded
Player 2,1650,2,2,0,False
Player 1,543,3,1,0,False
Player 1,2018,2,2,0,False
Player 1,860,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 2,1431,0,4,0,False
Player 1,100001,3,1,0,True
Player 1,100001,3,1,0,True
Player 2,1887,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,2756,4,0,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,409,2,2,0,False
Player 1,917,3,1,0,False
Player 1,4677,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,4,0,0,True
Player 1,392,2,2,0,False
Player 1,288,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,11074,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,3052,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,224,2,2,0,False
Player 2,1088,2,2,0,False
Player 1,3570,4,0,0,False
Player 1,226,3,1,0,False
Player 1,1202,3,1,0,False
Player 1,748,4,0,0,False
Player 2,2208,1,3,0,False
Player 1,100001,2,2,0,True
Player 2,6542,2,2,0,False
Player 1,1024,3,1,0,False
Player 1,464,3,1,0,False
Player 1,132,3,1,0,False
Player 1,1380,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 2,772,2,2,0,False
Player 2,2626,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,750,2,2,0,False
Player 1,136,3,1,0,False
Player 2,442,1,3,0,False
Player 1,2364,1,3,0,False
Player 1,590,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,1064,2,2,0,False
Player 2,1160,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,4209,2,2,0,False
Player 2,2425,2,2,0,False
Player 2,43,0,4,0,False
Player 2,910,2,2,0,False
Player 2,2528,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,916,1,3,0,False
Player 1,614,4,0,0,False
Player 1,4968,3,1,0,False
Player 2,1801,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,1285,1,3,0,False
Player 1,1050,2,2,0,False
Player 1,421,2,2,0,False
Player 2,1739,2,2,0,False
Player 2,954,1,3,0,False
Player 1,100001,1,3,0,True
Player 2,1140,3,1,0,False
Player 1,1554,0,4,0,False
Player 1,2451,2,2,0,False
Player 1,3737,2,2,0,False
Player 1,3030,4,0,0,False
Player 1,339,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,2764,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 2,3528,2,2,0,False
Player 1,371,2,2,0,False
Player 2,1584,1,3,0,False
Player 2,1130,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,4,0,0,True
Player 1,100001,3,1,0,True
Player 1,1861,3,1,0,False
Player 1,100001,1,3,0,True
Player 2,258,1,3,0,False
Player 1,2366,2,2,0,False
Player 1,1114,3,1,0,False
Player 1,100001,0,4,0,True
Player 1,153,3,1,0,False
Player 1,1507,1,3,0,False
Player 1,626,4,0,0,False
Player 1,1300,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,1691,0,4,0,False
Player 1,100001,1,3,0,True
Player 1,100001,4,0,0,True
Player 1,734,3,1,0,False
Player 2,1627,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,2463,1,3,0,False
Player 1,100001,3,1,0,True
Player 2,1183,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,1305,1,3,0,False
Player 1,51,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,100001,0,4,0,True
Player 1,232,3,1,0,False
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,1995,2,2,0,False
Player 1,545,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,1448,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 2,120,2,2,0,False
Player 2,822,1,3,0,False
Player 2,2474,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,530,2,2,0,False
Player 2,1050,0,4,0,False
Player 1,995,2,2,0,False
Player 1,3266,3,1,0,False
Player 1,3452,3,1,0,False
Player 1,100001,1,3,0,True
Player 2,1182,1,3,0,False
Player 2,4230,3,1,0,False
Player 1,1884,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,1628,2,2,0,False
Player 2,6574,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 2,365,0,4,0,False
Player 1,3948,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 2,1074,2,2,0,False
Player 1,471,2,2,0,False
Player 2,1452,2,2,0,False
Player 2,558,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,204,1,3,0,False
Player 2,551,2,2,0,False
Player 1,555,4,0,0,False
Player 2,344,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,170,3,1,0,False
Player 2,970,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 2,1740,2,2,0,False
Player 2,2132,4,0,0,False
Player 1,2326,2,2,0,False
Player 1,2342,3,1,0,False
Player 1,789,2,2,0,False
Player 1,4889,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 2,54,1,3,0,False
Player 1,3728,2,2,0,False
Player 1,1315,1,3,0,False
Player 1,1208,4,0,0,False
Player 1,100001,1,3,0,True
Player 2,794,1,3,0,False
Player 1,1554,3,1,0,False
Player 1,100001,1,3,0,True
Player 1,508,2,2,0,False
Player 1,540,3,1,0,False
Player 1,3078,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,771,3,1,0,False
Player 2,958,1,3,0,False
Player 2,1319,0,4,0,False
Player 1,930,3,1,0,False
Player 1,4192,2,2,0,False
Player 2,1053,3,1,0,False
Player 1,809,1,3,0,False
Player 1,100001,0,4,0,True
Player 1,100001,2,2,0,True
Player 2,212,0,4,0,False
Player 1,2084,2,2,0,False
Player 1,2532,4,0,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,1942,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 1,2772,2,2,0,False
Player 1,2009,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,1478,2,2,0,False
Player 1,1444,4,0,0,False
Player 1,100001,1,3,0,True
Player 2,988,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,2006,3,1,0,False
Player 2,254,3,1,0,False
Player 1,100001,3,1,0,True
Player 1,603,4,0,0,False
Player 2,2730,1,3,0,False
Player 2,1460,2,2,0,False
Player 1,1077,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 2,4309,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,1516,2,2,0,False
Player 1,314,3,1,0,False
Player 1,985,2,2,0,False
Player 1,2418,3,1,0,False
Player 1,326,3,1,0,False
Player 1,1648,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,1459,2,2,0,False
Player 2,1798,1,3,0,False
Player 1,1048,2,2,0,False
Player 1,100001,0,4,0,True
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,0,4,0,True
Player 2,1518,3,1,0,False
Player 1,2241,2,2,0,False
Player 1,434,3,1,0,False
Player 2,448,1,3,0,False
Player 1,2143,2,2,0,False
Player 2,585,2,2,0,False
Player 2,650,1,3,0,False
Player 1,100001,4,0,0,True
Player 2,2084,2,2,0,False
Player 1,2084,1,3,0,False
Player 2,732,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,1290,2,2,0,False
Player 2,1950,2,2,0,False
Player 2,854,1,3,0,False
Player 1,693,4,0,0,False
Player 1,100001,2,2,0,True
Player 2,1201,1,3,0,False
Player 2,316,1,3,0,False
Player 2,2062,3,1,0,False
Player 1,100001,4,0,0,True
Player 2,864,1,3,0,False
Player 1,1109,4,0,0,False
Player 1,100001,3,1,0,True
Player 1,897,0,4,0,False
Player 1,100001,2,2,0,True
Player 1,396,3,1,0,False
Player 2,1794,1,3,0,False
Player 1,1826,2,2,0,False
Player 2,2456,2,2,0,False
Player 2,1768,2,2,0,False
Player 1,660,4,0,0,False
Player 1,749,3,1,0,False
Player 1,503,2,2,0,False
Player 2,234,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,100001,1,3,0,True
Player 1,1269,3,1,0,False
Player 2,818,1,3,0,False
Player 2,828,3,1,0,False
Player 1,847,4,0,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,0,4,0,True
Player 1,100001,1,3,0,True
Player 2,1454,2,2,0,False
Player 1,1700,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 2,1566,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,736,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,2349,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,1150,3,1,0,False
Player 1,100001,2,2,0,True
Player 2,102,1,3,0,False
Player 1,100001,2,2,0,True
Player 2,1375,2,2,0,False
Player 1,340,2,2,0,False
Player 2,1698,1,3,0,False
Player 1,3676,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,1661,3,1,0,False
Player 1,475,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,100001,0,4,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,3810,0,4,0,False
Player 2,749,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 2,392,1,3,0,False
Player 1,3982,3,1,0,False
Player 1,2803,2,2,0,False
Player 1,100001,2,2,0,True
